,text
0,Divisibility
1,Prime numbers
2,The greatest common divisor and the least common multiple
3,Odd and even
4,Modular arithmetics
5,Chinese remainder theorem
6,Divisibility criteria in the decimal system
7,Perfect squares
8,Perfect cubes
9,"$k^{t h}$ powers of integers, $k\geq4$"
10,General problems
11,Floor function and integer points
12,An useful result
13,The last digits of a number
14,The sum of the digits of a number
15,Other problems involving digits
16,Extremal arguments
17,Pigeonhole principle
18,Mathematical induction
19,Infinite descent
20,Inclusion-exclusion
21,Multiplicative functions
22,Number of divisors
23,Sum of divisors
24,Euler’s totient function
25,Exponent of a prime and Legendre’s formula
26,Fermat’s Little Theorem
27,Euler’s Theorem
28,The order of an element
29,Wilson’s Theorem
30,Linear Diophantine equations
31,Pythagorean equation
32,Pell’s equation
33,Other quadratic equations
34,Cubic equations
35,High-order polynomial equations
36,Exponential Diophantine equations
37,Quadratic residues. Legendre’s symbol
38,Fermat’s numbers
39,Mersenne’s numbers
40,Perfect numbers
41,Fibonacci and Lucas sequences
42,Problems involving linear recursive relations
43,Nonstandard sequences of integers
44,Binomial coefficients
45,Lucas’ and Kummer’s Theorems
46,Miscellaneous Problems
47,Numerical systems
48,Two simple principles
49,Pythagorean equations
